
 -------   CERRÓ EL MERCADO  :  6:0

 -------   Formulario Abierto ------ MENUDEO :  6:5

 -------    SIN DIVISAS  :  16:54

 -------    SIN DIVISAS  :  16:55

 -------    SIN DIVISAS  :  16:55

 -------   Formulario Abierto ------ MENUDEO :  16:56

 -------    SIN DIVISAS  :  16:57

 -------    SIN DIVISAS  :  16:57

 -------    SIN DIVISAS  :  16:58

 -------    SIN DIVISAS  :  16:59

 -------    SIN DIVISAS  :  16:59

 -------    SIN DIVISAS  :  17:0

 -------    SIN DIVISAS  :  17:2

 -------    SIN DIVISAS  :  17:3

 -------    SIN DIVISAS  :  17:4

 -------    SIN DIVISAS  :  17:4

 -------    SIN DIVISAS  :  17:5

 -------    SIN DIVISAS  :  17:6

 -------    SIN DIVISAS  :  17:6

 -------    SIN DIVISAS  :  17:7

 -------    SIN DIVISAS  :  17:7

 -------    SIN DIVISAS  :  17:8

 -------    SIN DIVISAS  :  17:9

 -------    SIN DIVISAS  :  17:9

 -------    SIN DIVISAS  :  17:10

 -------    SIN DIVISAS  :  17:10

 -------    SIN DIVISAS  :  17:11

 -------    SIN DIVISAS  :  17:12

 -------    SIN DIVISAS  :  17:13

 -------    SIN DIVISAS  :  17:14

 -------    SIN DIVISAS  :  17:14

 -------   Formulario Abierto ------ MENUDEO :  17:15

 -------    SIN DIVISAS  :  17:18

 -------    SIN DIVISAS  :  17:19

 -------    SIN DIVISAS  :  17:19

 -------    SIN DIVISAS  :  17:20

 -------    SIN DIVISAS  :  17:21

 -------    SIN DIVISAS  :  17:21

 -------    SIN DIVISAS  :  17:22

 -------    SIN DIVISAS  :  17:23

 -------    SIN DIVISAS  :  17:23

 -------    SIN DIVISAS  :  17:24

 -------   Formulario Abierto ------ MENUDEO :  17:25

 -------    SIN DIVISAS  :  17:25

 -------    SIN DIVISAS  :  17:26

 -------    SIN DIVISAS  :  17:27

 -------    SIN DIVISAS  :  17:27

 -------    SIN DIVISAS  :  17:28

 -------    SIN DIVISAS  :  17:29

 -------    SIN DIVISAS  :  17:30

 -------    SIN DIVISAS  :  17:30

 -------    SIN DIVISAS  :  17:31

 -------    SIN DIVISAS  :  17:32

 -------    SIN DIVISAS  :  17:33

 -------    SIN DIVISAS  :  17:33

 -------    SIN DIVISAS  :  17:34

 -------    SIN DIVISAS  :  17:36

 -------    SIN DIVISAS  :  17:36

 -------   Formulario Abierto ------ MENUDEO :  17:37

 -------    SIN DIVISAS  :  17:38

 -------    SIN DIVISAS  :  17:38

 -------    SIN DIVISAS  :  17:39

 -------    SIN DIVISAS  :  17:40

 -------    SIN DIVISAS  :  17:40

 -------    SIN DIVISAS  :  17:41

 -------    SIN DIVISAS  :  17:43

 -------    SIN DIVISAS  :  17:43

 -------    SIN DIVISAS  :  17:44

 -------    SIN DIVISAS  :  17:45

 -------    SIN DIVISAS  :  17:45

 -------    SIN DIVISAS  :  17:46

 -------    SIN DIVISAS  :  17:46

 -------    SIN DIVISAS  :  17:47

 -------    SIN DIVISAS  :  17:48

 -------    SIN DIVISAS  :  17:48

 -------    SIN DIVISAS  :  17:49

 -------    SIN DIVISAS  :  17:50

 -------    SIN DIVISAS  :  17:52

 -------    SIN DIVISAS  :  17:53

 -------    SIN DIVISAS  :  17:54

 -------    SIN DIVISAS  :  17:54

 -------    SIN DIVISAS  :  17:55

 -------    SIN DIVISAS  :  17:56

 -------    SIN DIVISAS  :  17:57

 -------    SIN DIVISAS  :  17:57

 -------    SIN DIVISAS  :  17:58

 -------    SIN DIVISAS  :  17:59

 -------    SIN DIVISAS  :  17:59

 -------    SIN DIVISAS  :  18:0

 -------    SIN DIVISAS  :  18:0

 -------    SIN DIVISAS  :  18:1

 -------    SIN DIVISAS  :  18:2

 -------    SIN DIVISAS  :  18:2

